,pair1,pair2,corr_value
494,piled,add(integer((d))mul(integer(-(d))symbol(x))),1.0
495,piled,composed,1.0
496,piled,construction,1.0
497,piled,contains,0.8163539745205176
498,piled,layer,1.0
499,piled,logs,1.0000000000000007
500,piled,lowest,1.0
501,places,answer,0.7067356938971817
502,places,decimal,1.0
503,places,final,1.0
504,places,manages,1.0
505,places,month,0.7557594325146626
506,places,months,1.0
507,plane,covered,0.8160676360171513
508,plane,distance,0.7063636314476659
509,plane,dropped,1.0
510,plane,fallen,1.0
511,plane,falls,1.0
512,plane,far,0.8160676360171518
513,plane,object,1.0
514,planning,blouse,1.0
515,planning,buy,0.8943333765842449
516,planning,christmas,0.7067356938971815
517,planning,costs,1.0
518,planning,december,1.0
519,planning,doubled,1.0
520,planning,money,1.0
521,planning,mother,1.0
522,planning,november,1.0
523,planning,obtained,0.7067356938971818
524,playing,cups,1.0
525,playing,game,1.0
526,pow(add(pow(symbol(x)integer((d)))mul(integer((d))pow(symbol(x)integer((d))))mul(integer(-(d))mul(integer((d))integer((d))symbol(x))))mul(integer((d))pow(integer((d))integer(-(d))))),equationnn,1.0
527,power,expressed,1.0
528,power,expressions,0.7067356938971817
529,precedes,cinema,1.0
530,preceding,covered,0.8160676360171513
531,preceding,distance,0.7063636314476659
532,preceding,dropped,1.0
533,preceding,fallen,1.0
534,preceding,falls,1.0
535,preceding,far,0.8160676360171518
536,preceding,object,1.0
537,preceding,plane,1.0
538,present,blouse,1.0
539,present,buy,0.8943333765842449
540,present,christmas,0.7067356938971815
541,present,costs,1.0
542,present,december,1.0
543,present,doubled,1.0
544,present,money,1.0
545,present,mother,1.0
546,present,november,1.0
547,present,obtained,0.7067356938971818
548,present,planning,1.0
549,previous,always,0.7067356938971814
550,previous,ball,0.7067356938971814
551,previous,decimal,0.7067356938971815
552,previous,fifth,0.7067356938971814
553,previous,final,0.7067356938971815
554,previous,manages,0.7067356938971815
555,previous,months,0.7067356938971815
556,previous,places,0.7067356938971815
557,prism,longer,0.816353974520518
558,prism,meters,0.7297085506602656
559,problem,adds,1.0
560,problem,homework,1.0
561,problem,madison,1.0
562,process,multiplication,1.0
563,property,applying,1.0
564,property,easily,1.0
565,provides,add(symbol(x)mul(symbol(x)symbol(x))mul(symbol(x)pow(symbol(x)integer((d))))mul(symbol(x)pow(symbol(x)integer((d))))mul(symbol(x)pow(symbol(x)symbol(x)))symbol(x)),1.0
566,provincial,begins,1.0
567,provincial,field,1.0
568,provincial,jose,1.0
569,provincial,meet,1.0
570,provincial,miles,0.9999999999999991
571,provincial,municipal,1.0
572,provincial,nhs,1.0
573,q(x)+r(x)/d(x),algortihm,1.0
574,q(x)+r(x)/d(x),mul(pow(function(x)(symbol(x))integer(-(d)))function(x)(symbol(x))),1.0
575,quadratic,belong,0.7557594325146625
576,quadratic,group,0.7557594325146625
577,quadratic,inequality,0.7557594325146625
578,quotient,(if,0.9209153817065965
579,quotient,any),0.9209153817065965
580,quotient,division,0.7967398537471698
581,raise,accepted,1.0
582,raise,job,1.0
583,rate,already,1.0
584,rate,another,0.894239444363399
585,rate,ft,1.0
586,rate,ground,0.9426990369280182
587,rebounds,always,1.0
588,rebounds,ball,1.0
589,rebounds,fifth,1.0
590,rebounds,previous,0.7067356938971814
591,recall,concept,1.0
592,recall,must,1.0
593,recall,order,1.0
594,receive,annually,0.8160676360171517
595,receive,gets,0.8160676360171517
596,receive,mary,0.8160676360171517
597,receive,monthly,1.0
598,receives,annual,1.0
599,rectangle,add(mul(integer((d))pow(symbol(x)integer((d))))mul(integer((d))pow(symbol(x)integer((d))))mul(integer((d))pow(symbol(x)integer((d))))mul(integer((d))symbol(x))integer((d))),0.7067356938971824
600,rectangle,centimeter,0.9999999999999999
601,related,closely,0.7067356938971812
602,relationship,building,0.7067356938971819
603,relationship,discovered,0.706735693897182
604,relationship,high,0.7067356938971819
605,relationship,mathematician,0.706735693897182
606,relationship,national,0.7067356938971819
607,relationship,philippine,0.7067356938971819
608,remainder,divided,0.705481290775296
609,remains,(d)cm,0.9999999999999999
610,remains,box,0.7067356938971818
611,remains,centimeters,1.0
612,remains,dimension,0.816353974520518
613,remains,dimensions,0.7069221412446143
614,remains,enlarged,1.0
615,remains,increased,1.0
616,remains,metal,1.0
617,remains,mul(integer((d))symbol(x)pow(symbol(x)integer((d)))),1.0
618,remains,new,0.894333376584245
619,remains,original,1.0
620,removing,box,0.7067356938971817
621,removing,cardboard,1.0
622,removing,corner,1.0
623,removing,open,1.0
624,representative,begins,1.0
625,representative,field,1.0
626,representative,jose,1.0
627,representative,meet,1.0
628,representative,miles,0.9999999999999991
629,representative,municipal,1.0
630,representative,nhs,1.0
631,representative,provincial,1.0
632,representthe,mathematical,0.7067356938971819
633,result,add(symbol(x)mul(integer((d))pow(add(symbol(x)mul(integer(-(d))integer((d))))integer(-(d))))),1.0
634,resulting,add(pow(symbol(x)integer((d)))integer((d))),0.7067356938971817
635,resulting,leaves,0.7067356938971817
636,reverse,multiplication,1.0
637,reverse,process,1.0
638,rico,answer,0.7067356938971817
639,rico,decimal,1.0
640,rico,final,1.0
641,rico,manages,1.0
642,rico,month,0.7557594325146626
643,rico,months,1.0
644,rico,places,1.0
645,rico,previous,0.7067356938971815
646,right),left(x+(d),1.0
647,right),left(x-(d),1.0
648,rise,already,1.0
649,rise,another,0.894239444363399
650,rise,ft,1.0
651,rise,ground,0.9426990369280182
652,rise,rate,1.0
653,rocket,already,1.0
654,rocket,another,0.894239444363399
655,rocket,ft,1.0
656,rocket,ground,0.9426990369280182
657,rocket,rate,1.0
658,rocket,rise,1.0
659,root,rational,0.8178832897590398
660,round,answer,0.7067356938971817
661,round,decimal,1.0
662,round,final,1.0
663,round,manages,1.0
664,round,month,0.7557594325146626
665,round,months,1.0
666,round,places,1.0
667,round,previous,0.7067356938971815
668,round,rico,1.0
669,row,cinema,0.8163539745205176
670,row,precedes,0.8163539745205176
671,rows,additional,0.8160676360171514
672,rows,hall,0.8160676360171514
673,rows,row,0.9426438538380745
674,run,begins,1.0
675,run,field,1.0
676,run,jose,1.0
677,run,meet,1.0
678,run,miles,0.9999999999999991
679,run,municipal,1.0
680,run,nhs,1.0
681,run,provincial,1.0
682,run,representative,1.0
683,running,begins,1.0
684,running,field,1.0
685,running,jose,1.0
686,running,meet,1.0
687,running,miles,0.9999999999999991
688,running,municipal,1.0
689,running,nhs,1.0
690,running,provincial,1.0
691,running,representative,1.0
692,running,run,1.0
693,s_{,infty},1.0
694,salary,accepted,0.7069221412446142
695,salary,job,0.7069221412446142
696,salary,monthly,0.8158524020653709
697,salary,raise,0.7069221412446142
698,salary,receive,0.8158524020653709
699,save,allowance,0.8525589508802293
700,save,continued,0.8525589508802293
701,save,deposits,0.8525589508802293
702,save,jane,0.8525589508802293
703,saved,end,0.7489473684210531
704,saved,january,0.832797787654401
705,saved,mirasol,0.7063636314476658
706,saved,month,0.754962958143439
707,saves,amount,0.7996219281663519
708,saves,bamboo,0.8943333765842448
709,saves,bank,0.8943333765842453
710,saves,doubles,0.8943333765842448
711,saves,fun,0.8943333765842448
712,saves,inside,0.8943333765842448
713,saves,joey,0.8943333765842448
714,saves,peso,0.8943333765842448
715,saving,able,1.0
716,saving,allowance,0.8160676360171515
717,saving,continued,0.8160676360171515
718,saving,deposits,0.8160676360171515
719,saving,jane,0.8160676360171515
720,savings,decimal,0.7067356938971814
721,savings,doubling,0.7067356938971816
722,savings,final,0.7067356938971814
723,savings,manages,0.7067356938971814
724,savings,months,0.7067356938971814
725,savings,places,0.7067356938971814
726,savings,rico,0.7067356938971814
727,savings,round,0.7067356938971814
728,says,adds,1.0
729,says,homework,1.0
730,says,madison,1.0
731,says,problem,1.0
732,school,building,1.0
733,school,high,1.0
734,school,mathematical,0.706735693897182
735,school,national,1.0
736,school,philippine,1.0
737,school,relationship,0.7067356938971819
738,season,blouse,1.0
739,season,buy,0.8943333765842449
740,season,christmas,0.7067356938971815
741,season,costs,1.0
742,season,december,1.0
743,season,doubled,1.0
744,season,money,1.0
745,season,mother,1.0
746,season,november,1.0
747,season,obtained,0.7067356938971818
748,season,planning,1.0
749,season,present,1.0
750,seat,additional,0.706735693897181
751,seat,hall,0.706735693897181
752,seats,cinema,0.7425059400292647
753,seats,precedes,0.7425059400292647
754,seats,row,0.9854866961908824
755,seats,rows,0.9647963380417927
756,seconds,already,0.7063636314476658
757,seconds,dropped,0.7063636314476658
758,seconds,fallen,0.7063636314476658
759,seconds,falls,0.7063636314476658
760,seconds,feet,0.7704877472030389
761,seconds,ft,0.7063636314476658
762,seconds,object,0.7063636314476658
763,seconds,plane,0.7063636314476658
764,seconds,preceding,0.7063636314476658
765,seconds,rate,0.7063636314476658
766,seconds,rise,0.7063636314476658
767,seconds,rocket,0.7063636314476658
768,seconds,second,0.7086969723100854
769,sentence,mathematical,0.7067356938971819
770,sentence,representthe,1.0
771,sequence-(d)-(d),blank-(d)-(d),1.0
772,series,geometric,0.7249012047359613
773,service,add(symbol(x)mul(integer(-(d))symbol(x))),1.0
774,service,chain,1.0
775,service,crew,1.0
776,service,earn,1.0
777,service,earns,1.0
778,service,hour,0.7067356938971813
779,service,hours,1.0
780,service,lita,1.0
781,service,per,0.7067356938971813
782,set,indicates,1.0
783,set,infinity,1.0
784,shoes,able,0.8160676360171515
785,shoes,allowance,1.0
786,shoes,continued,1.0
787,shoes,deposits,1.0
788,shoes,jane,1.0
789,shoes,made,0.8160676360171512
790,shoes,save,0.8525589508802291
791,shoes,saving,0.8160676360171515
792,sin,prove,1.0
793,since,business,1.0
794,since,cruz,1.0
795,since,de,1.0
796,since,income,0.8162114466032563
797,since,la,1.0
798,since,mrs,1.0
799,situation,neither,1.0
800,sky,diver,1.0
801,sky,fall,1.0
802,sky,jump,1.0
803,sky,jumped,1.0
804,sky,jumps,1.0
805,solid,(h),0.9700223889146804
806,solid,(l),0.9700223889146804
807,solid,(w),0.9700223889146804
808,solid,height,0.792327518612468
809,specified,sequences,0.7421909846037736
810,square,perfect,0.8466191771574857
811,stacking,cups,1.0
812,stacking,game,1.0
813,stacking,playing,1.0
814,started,business,0.8160676360171514
815,started,cruz,0.8160676360171514
816,started,de,0.8160676360171514
817,started,la,0.8160676360171514
818,started,mrs,0.8160676360171514
819,started,since,0.8160676360171514
820,startegies,appropriate,1.0
821,startegies,dimesnions,1.0
822,starts,assume,1.0
823,stops,always,1.0
824,stops,ball,1.0
825,stops,fifth,1.0
826,stops,previous,0.7067356938971814
827,stops,rebounds,1.0
828,strikes,always,1.0
829,strikes,ball,1.0
830,strikes,fifth,1.0
831,strikes,previous,0.7067356938971814
832,strikes,rebounds,1.0
833,strikes,stops,1.0
834,subtract,follows,1.0
835,subtract,multiply,1.0
836,subtract,numerical,0.7063636314476653
837,subtracts,adds,1.0
838,subtracts,homework,1.0
839,subtracts,madison,1.0
840,subtracts,problem,1.0
841,subtracts,says,1.0
842,succeeding,dropped,0.8160676360171518
843,succeeding,fallen,0.8160676360171518
844,succeeding,falls,0.8160676360171518
845,succeeding,object,0.8160676360171518
846,succeeding,plane,0.8160676360171518
847,succeeding,preceding,0.8160676360171518
848,successive,additional,1.0
849,successive,hall,1.0
850,successive,rows,0.8160676360171515
851,successive,seat,0.706735693897181
852,synthetic,division,0.7582388338567374
853,taxi,fare,1.0
854,taxi,kilometer,1.0
855,taxi,passenger,1.0
856,taxi,pays,1.0
857,taxi,per,0.7067356938971814
858,technique,concept,1.0
859,technique,must,1.0
860,technique,order,1.0
861,technique,recall,1.0
862,ter,exponnts,1.0
863,ter,mul(pow(symbol(x)integer(-(d)))symbol(x)),1.0
864,terms,sum,0.7061091648287782
865,text{cm},box,0.7067356938971817
866,text{cm},cardboard,1.0
867,text{cm},corner,1.0
868,text{cm},open,1.0
869,text{cm},removing,1.0
870,thereafter,answer,0.7067356938971817
871,thereafter,decimal,1.0
872,thereafter,final,1.0
873,thereafter,manages,1.0
874,thereafter,month,0.7557594325146626
875,thereafter,months,1.0
876,thereafter,places,1.0
877,thereafter,previous,0.7067356938971815
878,thereafter,rico,1.0
879,thereafter,round,1.0
880,thereafter,savings,0.7067356938971815
881,thiss,call,1.0
882,time,always,1.0
883,time,ball,1.0
884,time,fifth,1.0
885,time,previous,0.7067356938971814
886,time,rebounds,1.0
887,time,stops,1.0
888,time,strikes,1.0
889,times,(h),1.0
890,times,(l),1.0
891,times,(w),1.0
892,times,height,0.7687194760502846
893,times,solid,0.9700223889146804
894,today,add(symbol(x)mul(integer(-(d))symbol(x))),1.0
895,today,chain,1.0
896,today,crew,1.0
897,today,earn,1.0
898,today,earns,1.0
899,today,hour,0.7067356938971813
900,today,hours,1.0
901,today,lita,1.0
902,today,per,0.7067356938971813
903,today,service,1.0
904,token,bought,1.0
905,token,christmas,0.7067356938971813
906,token,classroom,1.0
907,token,party,1.0
908,token,pedro,1.0
909,token,pesos,0.8943333765842449
910,token,peter,1.0
911,tokens,bought,1.0
912,tokens,christmas,0.7067356938971813
913,tokens,classroom,1.0
914,tokens,party,1.0
915,tokens,pedro,1.0
916,tokens,pesos,0.8943333765842449
917,tokens,peter,1.0
918,tokens,token,1.0
919,tossed,always,1.0
920,tossed,ball,1.0
921,tossed,fifth,1.0
922,tossed,previous,0.7067356938971814
923,tossed,rebounds,1.0
924,tossed,stops,1.0
925,tossed,strikes,1.0
926,tossed,time,1.0
927,total,income,0.7053670189713586
928,track,begins,1.0
929,track,field,1.0
930,track,jose,1.0
931,track,meet,1.0
932,track,miles,0.9999999999999991
933,track,municipal,1.0
934,track,nhs,1.0
935,track,provincial,1.0
936,track,representative,1.0
937,track,run,1.0
938,track,running,1.0
939,training,begins,1.0
940,training,field,1.0
941,training,jose,1.0
942,training,meet,1.0
943,training,miles,0.9999999999999991
944,training,municipal,1.0
945,training,nhs,1.0
946,training,provincial,1.0
947,training,representative,1.0
948,training,run,1.0
949,training,running,1.0
950,training,track,1.0
951,traveled,fare,1.0
952,traveled,kilometer,1.0
953,traveled,passenger,1.0
954,traveled,pays,1.0
955,traveled,per,0.7067356938971814
956,traveled,taxi,1.0
957,twice,enclose,0.893956315899632
958,twice,farmers,0.893956315899632
959,twice,garden,0.8939563158996319
960,twice,impasugong,0.893956315899632
961,twice,like,0.893956315899632
962,twice,mr,0.893956315899632
963,twice,opalla,0.893956315899632
964,u,prove,1.0
965,u,sin,1.0
966,unit,(h),1.0
967,unit,(l),1.0
968,unit,(w),1.0
969,unit,height,0.7687194760502846
970,unit,solid,0.9700223889146804
971,unit,times,1.0
972,units,(h),1.0
973,units,(l),1.0
974,units,(w),1.0
975,units,height,0.7687194760502846
976,units,solid,0.9700223889146804
977,units,times,1.0
978,units,unit,1.0
979,upper,add(integer((d))mul(integer(-(d))symbol(x))),1.0
980,upper,composed,1.0
981,upper,construction,1.0
982,upper,contains,0.8163539745205176
983,upper,layer,1.0
984,upper,logs,1.0000000000000007
985,upper,lowest,1.0
986,upper,piled,1.0
987,uppermost,add(integer((d))mul(integer(-(d))symbol(x))),1.0
988,uppermost,composed,1.0
989,uppermost,construction,1.0
990,uppermost,contains,0.8163539745205176
991,uppermost,layer,1.0
992,uppermost,logs,1.0000000000000007
993,uppermost,lowest,1.0
994,uppermost,piled,1.0
995,uppermost,upper,1.0
996,used,obtaining,0.8160676360171517
997,used,operation,0.8160676360171517
998,video,hour,0.7067356938971814
999,video,people,1.0
1000,viral,hour,0.7067356938971814
1001,viral,people,1.0
1002,viral,video,1.0
1003,volume,rectangular,0.8302389650104529
1004,walk,(d)m,1.0
1005,walk,advised,1.0
1006,walk,continue,1.0
1007,walk,daily,1.0
1008,walk,exercise,1.0
1009,walk,morning,1.0
1010,walk,physician,1.0
1011,walked,(d)m,1.0
1012,walked,advised,1.0
1013,walked,continue,1.0
1014,walked,daily,1.0
1015,walked,exercise,1.0
1016,walked,morning,1.0
1017,walked,physician,1.0
1018,walked,walk,1.0
1019,watching,hour,0.7067356938971814
1020,watching,people,1.0
1021,watching,video,1.0
1022,watching,viral,1.0
1023,week,amount,0.7165237639778468
1024,weekly,allowance,0.8160676360171515
1025,weekly,continued,0.8160676360171515
1026,weekly,deposits,0.8160676360171515
1027,weekly,jane,0.8160676360171515
1028,weekly,shoes,0.8160676360171515
1029,whatever,amount,0.8943333765842448
1030,whatever,bamboo,1.0
1031,whatever,bank,0.9999999999999997
1032,whatever,doubles,1.0
1033,whatever,fun,1.0
1034,whatever,inside,1.0
1035,whatever,joey,1.0
1036,whatever,peso,1.0
1037,whatever,saves,0.8943333765842448
1038,width,length,0.8811140881051769
1039,within,hour,0.7067356938971814
1040,within,people,1.0
1041,within,video,1.0
1042,within,viral,1.0
1043,within,watching,1.0
1044,working,(h),0.7063636314476653
1045,working,(l),0.7063636314476653
1046,working,(w),0.7063636314476653
1047,working,times,0.7063636314476653
1048,working,unit,0.7063636314476653
1049,working,units,0.7063636314476653
1050,works,add(symbol(x)mul(integer(-(d))symbol(x))),1.0
1051,works,chain,1.0
1052,works,crew,1.0
1053,works,earn,1.0
1054,works,earns,1.0
1055,works,hour,0.7067356938971813
1056,works,hours,1.0
1057,works,lita,1.0
1058,works,per,0.7067356938971813
1059,works,service,1.0
1060,works,today,1.0
1061,worth,bought,1.0
1062,worth,christmas,0.7067356938971813
1063,worth,classroom,1.0
1064,worth,party,1.0
1065,worth,pedro,1.0
1066,worth,pesos,0.8943333765842449
1067,worth,peter,1.0
1068,worth,token,1.0
1069,worth,tokens,1.0
1070,would,enclose,0.904115594483501
1071,would,farmers,0.904115594483501
1072,would,garden,0.9041155944835004
1073,would,impasugong,0.904115594483501
1074,would,like,0.904115594483501
1075,would,mr,0.904115594483501
1076,would,opalla,0.904115594483501
1077,would,twice,0.8080972023432779
1078,yaya,annual,1.0
1079,yaya,receives,1.0
1080,year,accepted,0.8163539745205174
1081,year,job,0.8163539745205174
1082,year,raise,0.8163539745205174
1083,yearly,annual,0.7063636314476658
1084,yearly,business,0.7063636314476659
1085,yearly,cruz,0.7063636314476659
1086,yearly,de,0.7063636314476659
1087,yearly,income,0.8654174532681052
1088,yearly,increase,0.8156366580130737
1089,yearly,la,0.7063636314476659
1090,yearly,mrs,0.7063636314476659
1091,yearly,receives,0.7063636314476658
1092,yearly,since,0.7063636314476659
1093,yearly,total,0.8156366580130759
1094,yearly,yaya,0.7063636314476658
1095,years,income,0.8721044709276677
1096,years,increase,0.925331669192647
1097,years,salary,0.8007274958942717
1098,years,yearly,0.7547344302139505
1099,zero,indicate,0.7066648619436755
1100,zeros,f(x),0.8706971863189248
1101,zeros,function,1.0
